album_id,name,release_date,total_tracks,url
3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15,1,https://open.spotify.com/album/3UOV8XvCwMKaATRNXrYCjN
2IoSjweCu07y9mv5H1Cj3v,La Diabla,2023-11-30,1,https://open.spotify.com/album/2IoSjweCu07y9mv5H1Cj3v
6VCO0fDBGbRW8mCEvV95af,Lovin On Me,2023-11-10,1,https://open.spotify.com/album/6VCO0fDBGbRW8mCEvV95af
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,2023-09-15,11,https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,3,https://open.spotify.com/album/7tzVd1fwkxsorytCBjEJkU
5pSk3c3wVwnb2arb6ohCPU,GOLDEN,2023-11-03,11,https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU
1bBez9PNvkJPW08bU7NYta,Scarlet,2023-09-20,15,https://open.spotify.com/album/1bBez9PNvkJPW08bU7NYta
30KJEN3ICjhYsZ1NgunRCr,La Víctima,2023-08-17,1,https://open.spotify.com/album/30KJEN3ICjhYsZ1NgunRCr
3VLY9g3CAG1Y5r2eGVEaZ0,BELLAKEO,2023-12-07,1,https://open.spotify.com/album/3VLY9g3CAG1Y5r2eGVEaZ0
50ZenUP4O2Q5eCy2NRNvuz,Stick Season,2022-10-14,14,https://open.spotify.com/album/50ZenUP4O2Q5eCy2NRNvuz
22sXXkKgjEuawIFL1e1tRw,Water,2023-07-28,1,https://open.spotify.com/album/22sXXkKgjEuawIFL1e1tRw
18ogtNq9F7DmMkNYO6Xb4k,Strangers,2023-09-01,1,https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k
4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,22,https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO
0FqAaUEyKCyUNFE1uQPZ7i,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,9,https://open.spotify.com/album/0FqAaUEyKCyUNFE1uQPZ7i
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS,2023-12-01,10,https://open.spotify.com/album/0lgs2Sa82lyX89nBUWyUy6
4x6cjOcVz44aiLSOHCLKPd,Que Onda,2023-08-30,1,https://open.spotify.com/album/4x6cjOcVz44aiLSOHCLKPd
3zu0hJJew2qXZNlselIQk8,Pa las Baby's Y Belikeada,2023-10-20,30,https://open.spotify.com/album/3zu0hJJew2qXZNlselIQk8
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),2023-06-02,1,https://open.spotify.com/album/5O0zUvdnJr0RbWzLFneN2i
66k6EGkPtYoN44anGIsEPW,Si No Estás,2022-09-23,1,https://open.spotify.com/album/66k6EGkPtYoN44anGIsEPW
1xJHno7SmdVtZAtXbdbDZp,GUTS,2023-09-08,12,https://open.spotify.com/album/1xJHno7SmdVtZAtXbdbDZp
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,18,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe
